question-1,B&M,B&M+,B&M^2,DSBA,DSBA+,DSBA^2,Eco,Eco+,Eco^2,Eco Mgmt,Eco Mgmt+,Eco Mgmt^2,Eco Pol,Eco Pol+,Eco Pol^2,PIR,PIR+,PIR^2,Psy,Psy+,Psy^2,OB
Strongly agree,2,2,2,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0
Agree,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Neither agree nor disagree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disagree,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
Strongly disagree,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
question-2,B&M,B&M+,B&M^2,DSBA,DSBA+,DSBA^2,Eco,Eco+,Eco^2,Eco Mgmt,Eco Mgmt+,Eco Mgmt^2,Eco Pol,Eco Pol+,Eco Pol^2,PIR,PIR+,PIR^2,Psy,Psy+,Psy^2,OB
Strongly agree,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0
Agree,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
Neither agree nor disagree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disagree,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Strongly disagree,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
question-3,B&M,B&M+,B&M^2,DSBA,DSBA+,DSBA^2,Eco,Eco+,Eco^2,Eco Mgmt,Eco Mgmt+,Eco Mgmt^2,Eco Pol,Eco Pol+,Eco Pol^2,PIR,PIR+,PIR^2,Psy,Psy+,Psy^2,OB
Strongly agree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
Agree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Neither agree nor disagree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disagree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strongly disagree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
question-4,B&M,B&M+,B&M^2,DSBA,DSBA+,DSBA^2,Eco,Eco+,Eco^2,Eco Mgmt,Eco Mgmt+,Eco Mgmt^2,Eco Pol,Eco Pol+,Eco Pol^2,PIR,PIR+,PIR^2,Psy,Psy+,Psy^2,OB
Strongly agree,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,4
Agree,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
Neither agree nor disagree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disagree,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
Strongly disagree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0
